Flight_ID,Airline,Flight_Number,Departure_Airport,Arrival_Airport,Departure_Time,Arrival_Time,Ticket_Price_INR,Flight_Status
36,IndiGo,SG5729,BLR,AMD,2024-09-08 12:00,2024-09-08 05:00,7643,Delayed
37,Vistara,AI6827,PNQ,TRV,2024-11-26 15:00,2024-11-26 04:00,4167,On Time
38,Akasa Air,AI5778,CCU,COK,2024-12-17 00:00,2024-12-17 04:00,6907,Delayed
39,Go First,AI5711,PNQ,BLR,2024-09-29 15:00,2024-09-29 01:00,9998,Delayed
40,IndiGo,SG555,MAA,TRV,2024-10-27 23:00,2024-10-27 01:00,2845,On Time
41,IndiGo,QP8567,BLR,DEL,2024-01-05 16:00,2024-01-05 04:00,6559,Cancelled
42,SpiceJet,AI7943,DEL,AMD,2024-01-22 11:00,2024-01-22 04:00,8548,Cancelled
43,Air India,SG3149,TRV,MAA,2024-08-18 05:00,2024-08-18 01:00,3205,Cancelled
44,Go First,AI8884,BOM,HYD,2024-02-06 00:00,2024-02-06 04:00,8951,Cancelled
45,Akasa Air,6E6527,BLR,TRV,2024-11-02 18:00,2024-11-02 03:00,5385,On Time
46,Go First,QP4263,BLR,PNQ,2024-02-02 20:00,2024-02-02 02:00,9797,Cancelled
47,Go First,UK7980,AMD,DEL,2024-12-16 12:00,2024-12-16 04:00,5249,Cancelled
48,Air India,6E7800,HYD,AMD,2024-07-10 20:00,2024-07-10 03:00,7845,Delayed
49,Vistara,6E3644,CCU,DEL,2024-10-07 16:00,2024-10-07 02:00,7004,On Time
50,Akasa Air,6E7013,BOM,PNQ,2024-05-08 09:00,2024-05-08 01:00,9770,Delayed
51,SpiceJet,UK1183,PNQ,HYD,2024-05-24 07:00,2024-05-24 01:00,6316,On Time
52,Vistara,UK5965,COK,CCU,2024-01-12 02:00,2024-01-12 04:00,5383,Delayed
53,Akasa Air,QP2060,HYD,DEL,2024-03-21 03:00,2024-03-21 04:00,10697,Delayed
54,Go First,SG1315,CCU,COK,2024-07-12 05:00,2024-07-12 05:00,6536,Cancelled
55,Air India,UK6175,CCU,MAA,2024-02-26 15:00,2024-02-26 01:00,11069,On Time
56,IndiGo,UK4448,HYD,DEL,2024-10-23 06:00,2024-10-23 01:00,10673,Delayed
57,Vistara,UK7972,BOM,MAA,2024-09-16 16:00,2024-09-16 01:00,11908,On Time
58,Air India,AI1808,AMD,BLR,2024-06-26 20:00,2024-06-26 01:00,8821,Delayed
59,Air India,SG6688,BOM,HYD,2024-06-24 15:00,2024-06-24 01:00,4811,Delayed
60,Air India,AI2921,MAA,COK,2024-07-31 18:00,2024-07-31 01:00,3966,On Time
61,Go First,SG8875,PNQ,BLR,2024-04-03 02:00,2024-04-03 03:00,9537,On Time
62,Go First,SG2176,BLR,PNQ,2024-12-18 17:00,2024-12-18 02:00,2957,Cancelled
63,IndiGo,QP9366,DEL,AMD,2024-09-10 01:00,2024-09-10 05:00,6140,Cancelled
64,Air India,AI2855,MAA,TRV,2024-08-09 22:00,2024-08-09 02:00,6745,Cancelled
65,IndiGo,UK272,TRV,BOM,2024-03-16 08:00,2024-03-16 04:00,10449,On Time
66,Air India,6E4319,COK,TRV,2024-06-22 10:00,2024-06-22 02:00,7574,Cancelled
67,IndiGo,UK1016,COK,BOM,2024-06-24 14:00,2024-06-24 01:00,10798,On Time
68,SpiceJet,SG1710,AMD,PNQ,2024-05-03 00:00,2024-05-03 04:00,11377,Cancelled
69,Air India,QP1567,PNQ,MAA,2024-09-10 12:00,2024-09-10 04:00,8697,Delayed
70,Go First,6E4962,BOM,COK,2024-04-09 01:00,2024-04-09 03:00,7670,On Time
71,SpiceJet,AI1364,PNQ,TRV,2024-10-08 01:00,2024-10-08 01:00,4806,Delayed
72,Air India,QP4869,AMD,MAA,2024-09-26 22:00,2024-09-26 05:00,2540,Delayed
73,SpiceJet,6E271,HYD,TRV,2024-12-22 23:00,2024-12-22 01:00,8385,Cancelled
74,Vistara,AI586,AMD,COK,2024-03-15 05:00,2024-03-15 01:00,3553,Cancelled
75,IndiGo,SG7368,AMD,BLR,2024-07-12 21:00,2024-07-12 02:00,5988,Cancelled
76,SpiceJet,6E5199,PNQ,MAA,2024-04-08 10:00,2024-04-08 01:00,3294,Delayed
77,Air India,SG5977,TRV,BOM,2024-03-25 08:00,2024-03-25 01:00,11763,On Time
78,Air India,AI2367,MAA,BOM,2024-03-16 11:00,2024-03-16 05:00,9577,Cancelled
79,SpiceJet,QP4346,TRV,COK,2024-08-15 13:00,2024-08-15 05:00,9571,Delayed
80,Vistara,SG1985,PNQ,CCU,2024-10-15 15:00,2024-10-15 03:00,5879,Cancelled
81,Akasa Air,AI8025,AMD,DEL,2024-05-24 06:00,2024-05-24 04:00,2771,Cancelled
82,SpiceJet,QP9896,MAA,DEL,2024-02-03 10:00,2024-02-03 04:00,4848,Delayed
83,Go First,QP3386,DEL,BOM,2024-12-21 09:00,2024-12-21 02:00,8441,Cancelled
84,Vistara,QP412,HYD,AMD,2024-11-07 23:00,2024-11-07 01:00,9920,On Time
85,Go First,UK9644,HYD,AMD,2024-05-22 04:00,2024-05-22 02:00,10180,Delayed
86,Go First,SG7726,MAA,PNQ,2024-05-28 19:00,2024-05-28 04:00,6175,On Time
87,SpiceJet,AI8792,PNQ,AMD,2024-08-13 09:00,2024-08-13 01:00,8564,On Time
88,Air India,UK7732,BLR,MAA,2024-09-30 20:00,2024-09-30 04:00,2924,On Time
89,Vistara,SG8695,HYD,TRV,2024-11-16 23:00,2024-11-16 01:00,4658,Cancelled
90,Air India,AI302,TRV,BLR,2024-05-02 05:00,2024-05-02 02:00,9978,Delayed
91,Akasa Air,SG9561,MAA,BLR,2024-01-22 07:00,2024-01-22 01:00,2669,Cancelled
92,Air India,6E9825,HYD,BLR,2024-05-16 04:00,2024-05-16 01:00,6531,Cancelled
93,Air India,SG9168,CCU,PNQ,2024-06-18 07:00,2024-06-18 05:00,2773,Cancelled
94,IndiGo,AI2954,HYD,COK,2024-04-11 02:00,2024-04-11 01:00,6076,Cancelled
95,Air India,6E8497,CCU,PNQ,2024-05-06 11:00,2024-05-06 04:00,9830,Cancelled
96,Go First,AI7062,COK,PNQ,2024-04-18 02:00,2024-04-18 05:00,3205,Delayed
97,Akasa Air,6E8217,AMD,TRV,2024-02-25 16:00,2024-02-25 04:00,6028,Delayed
98,IndiGo,AI7292,HYD,COK,2024-12-06 15:00,2024-12-06 01:00,8861,On Time
99,Akasa Air,UK8674,AMD,BOM,2024-06-18 12:00,2024-06-18 04:00,10094,On Time
100,IndiGo,SG9632,DEL,BOM,2024-05-10 00:00,2024-05-10 04:00,3522,On Time
101,Vistara,AI1233,BOM,AMD,2024-04-06 16:00,2024-04-06 05:00,11899,On Time
102,Vistara,SG9929,COK,BLR,2024-01-22 07:00,2024-01-22 04:00,5771,Delayed
103,Go First,QP9217,TRV,DEL,2024-12-12 18:00,2024-12-12 04:00,6763,On Time
104,Akasa Air,UK4830,PNQ,BLR,2024-06-03 14:00,2024-06-03 03:00,5227,Cancelled
105,SpiceJet,UK293,BOM,BLR,2024-07-25 14:00,2024-07-25 03:00,3031,Delayed
106,Go First,AI5519,COK,BLR,2024-09-04 17:00,2024-09-04 02:00,8759,On Time
107,Air India,AI4045,PNQ,DEL,2024-12-28 01:00,2024-12-28 04:00,3796,On Time
108,SpiceJet,AI2674,TRV,BLR,2024-03-19 04:00,2024-03-19 03:00,4947,Delayed
109,Akasa Air,UK4110,COK,HYD,2024-12-30 05:00,2024-12-30 05:00,3569,Cancelled
110,SpiceJet,QP4957,HYD,DEL,2024-12-29 03:00,2024-12-29 01:00,6843,On Time
111,Air India,QP1332,BLR,PNQ,2024-03-19 08:00,2024-03-19 03:00,7978,Delayed
112,Go First,QP2566,BOM,HYD,2024-08-12 19:00,2024-08-12 01:00,4705,Delayed
113,Akasa Air,AI3438,DEL,AMD,2024-09-13 10:00,2024-09-13 05:00,8834,Delayed
114,IndiGo,SG6773,PNQ,COK,2024-08-19 10:00,2024-08-19 03:00,10424,Delayed
115,Air India,QP5323,MAA,CCU,2024-11-30 12:00,2024-11-30 04:00,9893,On Time
116,Air India,AI1498,COK,AMD,2024-01-15 11:00,2024-01-15 01:00,9575,Delayed
117,Vistara,QP6195,BOM,MAA,2024-01-09 08:00,2024-01-09 02:00,6480,On Time
118,IndiGo,QP7071,CCU,DEL,2024-04-22 03:00,2024-04-22 04:00,2894,Cancelled
119,Go First,UK3159,DEL,PNQ,2024-04-26 21:00,2024-04-26 03:00,10503,On Time
120,SpiceJet,UK4656,DEL,BLR,2024-05-13 08:00,2024-05-13 02:00,3414,On Time
121,Akasa Air,SG8488,CCU,BOM,2024-11-08 18:00,2024-11-08 01:00,8088,Delayed
122,IndiGo,QP4010,MAA,CCU,2024-02-13 20:00,2024-02-13 03:00,4509,On Time
123,Vistara,AI5662,AMD,DEL,2024-05-13 10:00,2024-05-13 05:00,6108,On Time
124,Air India,QP7084,AMD,COK,2024-10-19 03:00,2024-10-19 03:00,7592,Delayed
125,Vistara,SG8877,BOM,MAA,2024-07-14 20:00,2024-07-14 03:00,11889,Delayed
126,SpiceJet,AI9034,PNQ,BLR,2024-05-30 12:00,2024-05-30 04:00,6326,On Time
127,IndiGo,AI1258,HYD,COK,2024-11-28 20:00,2024-11-28 03:00,7078,Cancelled
128,Go First,UK4771,BOM,MAA,2024-01-22 14:00,2024-01-22 01:00,4669,On Time
129,Akasa Air,UK7836,PNQ,COK,2024-06-19 00:00,2024-06-19 02:00,5160,Delayed
130,IndiGo,6E8616,BLR,AMD,2024-03-18 22:00,2024-03-18 01:00,9035,Cancelled
131,Go First,QP7841,BOM,COK,2024-06-12 00:00,2024-06-12 04:00,10645,On Time
132,IndiGo,SG6679,BOM,PNQ,2024-11-19 08:00,2024-11-19 03:00,3768,Delayed
133,IndiGo,UK9518,CCU,HYD,2024-04-25 06:00,2024-04-25 02:00,4692,Delayed
134,Akasa Air,6E4786,BOM,BLR,2024-01-31 10:00,2024-01-31 02:00,11241,On Time
135,Go First,6E4011,TRV,MAA,2024-03-03 20:00,2024-03-03 05:00,5938,On Time
136,Vistara,QP1280,AMD,BOM,2024-09-08 15:00,2024-09-08 02:00,11375,On Time
137,Akasa Air,QP3312,TRV,MAA,2024-08-31 01:00,2024-08-31 01:00,11524,On Time
138,Go First,AI4387,TRV,MAA,2024-04-18 19:00,2024-04-18 05:00,9415,On Time
139,Air India,6E1533,AMD,DEL,2024-05-12 03:00,2024-05-12 03:00,6973,Cancelled
140,SpiceJet,UK7162,TRV,BOM,2024-01-25 15:00,2024-01-25 01:00,5021,Cancelled
141,IndiGo,6E9416,MAA,DEL,2024-05-06 15:00,2024-05-06 05:00,11004,Delayed
142,Akasa Air,QP9051,PNQ,COK,2024-11-02 16:00,2024-11-02 03:00,11777,Delayed
143,Akasa Air,UK6052,DEL,MAA,2024-11-06 10:00,2024-11-06 05:00,5577,Cancelled
144,SpiceJet,AI9393,AMD,MAA,2024-09-29 09:00,2024-09-29 04:00,10199,Cancelled
145,Air India,6E1601,TRV,COK,2024-06-05 01:00,2024-06-05 04:00,6926,On Time
146,SpiceJet,6E2383,DEL,TRV,2024-03-28 02:00,2024-03-28 05:00,9175,Cancelled
147,Akasa Air,QP7066,MAA,COK,2024-11-21 10:00,2024-11-21 01:00,5767,Delayed
148,Vistara,QP9938,DEL,PNQ,2024-07-30 02:00,2024-07-30 03:00,6238,Delayed
149,Vistara,AI9167,DEL,CCU,2024-04-19 15:00,2024-04-19 04:00,4999,Delayed
150,Akasa Air,SG5919,DEL,BOM,2024-08-15 02:00,2024-08-15 03:00,8395,Cancelled
151,SpiceJet,6E3054,DEL,HYD,2024-11-22 04:00,2024-11-22 04:00,8712,On Time
152,Air India,6E4835,BLR,AMD,2024-05-13 19:00,2024-05-13 03:00,2682,On Time
153,Air India,SG6752,MAA,BOM,2024-10-10 17:00,2024-10-10 01:00,5936,Cancelled
154,SpiceJet,UK2558,TRV,BOM,2024-04-23 02:00,2024-04-23 04:00,8545,On Time
155,Air India,QP8203,PNQ,TRV,2024-09-15 10:00,2024-09-15 04:00,2791,On Time
156,IndiGo,QP4763,BLR,HYD,2024-10-16 14:00,2024-10-16 03:00,7264,On Time
157,Go First,SG8655,AMD,PNQ,2024-10-25 08:00,2024-10-25 02:00,10128,On Time
158,IndiGo,QP6915,COK,BOM,2024-07-13 03:00,2024-07-13 05:00,5344,Cancelled
159,Go First,AI5015,BOM,AMD,2024-10-22 15:00,2024-10-22 01:00,3735,Cancelled
160,Go First,AI4711,BLR,COK,2024-04-08 15:00,2024-04-08 01:00,8476,On Time
161,IndiGo,AI3869,COK,PNQ,2024-12-14 02:00,2024-12-14 03:00,9380,On Time
162,Air India,6E2702,HYD,TRV,2024-08-19 22:00,2024-08-19 04:00,9013,On Time
163,Go First,6E2385,AMD,MAA,2024-08-02 04:00,2024-08-02 04:00,2920,Delayed
164,Go First,UK7165,HYD,TRV,2024-12-27 13:00,2024-12-27 03:00,5517,Delayed
165,Akasa Air,SG1477,CCU,DEL,2024-05-21 13:00,2024-05-21 05:00,7081,Delayed
166,Akasa Air,6E2885,COK,DEL,2024-03-13 11:00,2024-03-13 02:00,4248,Delayed
167,IndiGo,SG4766,MAA,TRV,2024-11-19 17:00,2024-11-19 03:00,3364,Cancelled
168,SpiceJet,6E6702,BLR,PNQ,2024-10-22 18:00,2024-10-22 03:00,7739,Cancelled
169,Go First,6E9924,BOM,COK,2024-12-10 02:00,2024-12-10 01:00,5349,On Time
170,Vistara,SG5131,MAA,AMD,2024-08-30 08:00,2024-08-30 01:00,5292,Cancelled
171,SpiceJet,SG6091,MAA,AMD,2024-06-28 02:00,2024-06-28 05:00,11498,On Time
172,SpiceJet,UK5513,MAA,BOM,2024-04-20 20:00,2024-04-20 01:00,7167,On Time
173,SpiceJet,QP4878,COK,BOM,2024-05-09 07:00,2024-05-09 04:00,7551,Cancelled
174,Air India,6E6209,COK,AMD,2024-08-08 13:00,2024-08-08 04:00,7813,Delayed
175,Vistara,QP5826,DEL,PNQ,2024-12-02 15:00,2024-12-02 02:00,5562,Cancelled
176,IndiGo,UK5883,DEL,PNQ,2024-08-27 08:00,2024-08-27 03:00,2977,On Time
177,Air India,6E4359,MAA,HYD,2024-04-14 02:00,2024-04-14 01:00,7763,Delayed
178,Air India,AI8374,MAA,BOM,2024-03-26 13:00,2024-03-26 05:00,2671,On Time
179,Vistara,SG6313,BLR,HYD,2024-11-10 18:00,2024-11-10 01:00,6391,Cancelled
180,Air India,AI6819,PNQ,CCU,2024-10-12 02:00,2024-10-12 01:00,8576,Delayed
181,SpiceJet,QP3768,TRV,DEL,2024-10-28 10:00,2024-10-28 03:00,11133,Cancelled
182,Air India,AI1942,BLR,COK,2024-10-19 01:00,2024-10-19 04:00,8833,Delayed
183,Go First,6E8007,MAA,PNQ,2024-07-06 20:00,2024-07-06 05:00,2814,Cancelled
184,IndiGo,UK4462,PNQ,BOM,2024-05-04 07:00,2024-05-04 04:00,3396,On Time
185,SpiceJet,UK8957,CCU,MAA,2024-01-20 17:00,2024-01-20 04:00,7766,Delayed
186,Akasa Air,UK8792,BLR,MAA,2024-04-14 09:00,2024-04-14 02:00,9173,Delayed
187,Air India,SG2560,MAA,AMD,2024-09-13 07:00,2024-09-13 02:00,9375,Cancelled
188,Vistara,SG843,COK,AMD,2024-01-25 04:00,2024-01-25 03:00,7721,On Time
189,Go First,SG9342,PNQ,HYD,2024-01-28 21:00,2024-01-28 01:00,2529,Cancelled
190,Go First,SG6848,BLR,COK,2024-05-26 17:00,2024-05-26 02:00,4135,On Time
191,Go First,UK6182,MAA,TRV,2024-10-06 16:00,2024-10-06 02:00,3802,On Time
192,Vistara,UK9662,BLR,TRV,2024-06-19 06:00,2024-06-19 02:00,11610,Delayed
193,Air India,SG660,MAA,DEL,2024-01-29 03:00,2024-01-29 02:00,6927,Delayed
194,SpiceJet,SG4798,MAA,BOM,2024-02-19 14:00,2024-02-19 02:00,4745,Cancelled
195,Vistara,AI8592,BOM,BLR,2024-01-21 06:00,2024-01-21 03:00,6453,Cancelled
196,Go First,UK9791,AMD,CCU,2024-06-29 07:00,2024-06-29 03:00,6739,On Time
197,IndiGo,6E4022,BOM,AMD,2024-11-05 07:00,2024-11-05 03:00,4765,Cancelled
198,Go First,UK3633,CCU,BOM,2024-09-21 15:00,2024-09-21 04:00,3113,On Time
199,Akasa Air,QP6583,BOM,TRV,2024-06-18 23:00,2024-06-18 01:00,7484,Delayed
200,IndiGo,QP3238,AMD,PNQ,2024-03-19 16:00,2024-03-19 02:00,5692,Cancelled
201,IndiGo,6E4101,TRV,BOM,2024-02-29 00:00,2024-02-29 05:00,7912,Cancelled
202,Air India,SG6546,HYD,DEL,2024-12-22 04:00,2024-12-22 01:00,11223,Delayed
203,Go First,6E4352,TRV,BLR,2024-07-22 10:00,2024-07-22 02:00,5674,Delayed
204,IndiGo,AI1306,AMD,PNQ,2024-10-15 00:00,2024-10-15 02:00,11459,Delayed
205,Akasa Air,SG3252,BLR,CCU,2024-09-02 17:00,2024-09-02 04:00,6542,Delayed
206,SpiceJet,6E3718,COK,HYD,2024-01-10 04:00,2024-01-10 03:00,5927,On Time
207,Akasa Air,SG6302,COK,PNQ,2024-10-22 11:00,2024-10-22 04:00,7083,On Time
208,Vistara,SG2346,BLR,MAA,2024-12-23 12:00,2024-12-23 02:00,5791,Cancelled
209,Air India,QP8119,HYD,AMD,2024-07-30 16:00,2024-07-30 03:00,9661,On Time
210,Air India,AI1175,AMD,TRV,2024-09-18 14:00,2024-09-18 03:00,8994,Cancelled
211,Air India,QP2215,HYD,BOM,2024-09-06 18:00,2024-09-06 01:00,4399,Cancelled
212,Air India,6E7471,HYD,CCU,2024-12-23 21:00,2024-12-23 02:00,6087,Delayed
213,Go First,QP4543,TRV,MAA,2024-03-15 12:00,2024-03-15 01:00,3045,Cancelled
214,SpiceJet,AI5549,BLR,DEL,2024-04-08 13:00,2024-04-08 05:00,11483,On Time
215,IndiGo,QP8284,BOM,COK,2024-08-13 19:00,2024-08-13 03:00,6488,Cancelled
216,Go First,UK918,MAA,TRV,2024-03-14 05:00,2024-03-14 05:00,4677,Delayed
217,Go First,QP7467,MAA,PNQ,2024-11-05 00:00,2024-11-05 03:00,11530,On Time
218,Air India,AI4854,TRV,MAA,2024-03-28 10:00,2024-03-28 02:00,3940,Cancelled
219,Air India,SG828,COK,BLR,2024-01-13 18:00,2024-01-13 02:00,11919,On Time
220,SpiceJet,6E770,AMD,MAA,2024-09-16 13:00,2024-09-16 02:00,5489,Cancelled
221,Air India,QP2165,COK,PNQ,2024-09-22 05:00,2024-09-22 02:00,3284,On Time
222,Akasa Air,UK310,HYD,TRV,2024-03-08 15:00,2024-03-08 04:00,7298,Cancelled
223,Akasa Air,SG7097,TRV,MAA,2024-02-06 16:00,2024-02-06 02:00,3391,Cancelled
224,Air India,QP3253,BLR,HYD,2024-12-06 01:00,2024-12-06 02:00,8607,Cancelled
225,Vistara,AI7678,BOM,COK,2024-06-21 14:00,2024-06-21 03:00,2690,On Time
226,IndiGo,QP2743,DEL,BLR,2024-05-27 18:00,2024-05-27 05:00,11280,On Time
227,SpiceJet,UK114,MAA,BLR,2024-09-17 12:00,2024-09-17 02:00,4427,On Time
228,Go First,UK1619,COK,AMD,2024-12-12 00:00,2024-12-12 04:00,10632,On Time
229,Vistara,AI2253,CCU,BOM,2024-12-17 20:00,2024-12-17 01:00,6660,Cancelled
230,Air India,QP4523,CCU,TRV,2024-12-06 00:00,2024-12-06 02:00,6425,Cancelled
231,Vistara,SG9876,DEL,AMD,2024-01-27 11:00,2024-01-27 03:00,7116,Delayed
232,IndiGo,SG6506,DEL,TRV,2024-11-17 01:00,2024-11-17 04:00,2500,Delayed
233,SpiceJet,SG329,BLR,BOM,2024-08-16 21:00,2024-08-16 02:00,9321,Cancelled
234,Akasa Air,AI7348,PNQ,DEL,2024-10-02 19:00,2024-10-02 02:00,9856,Delayed
235,Akasa Air,QP2657,TRV,PNQ,2024-07-08 07:00,2024-07-08 02:00,5674,Delayed
236,IndiGo,UK8796,MAA,CCU,2024-01-15 18:00,2024-01-15 03:00,4819,Cancelled
237,SpiceJet,UK3558,TRV,MAA,2024-04-20 06:00,2024-04-20 03:00,9551,Cancelled
238,Vistara,AI3499,MAA,AMD,2024-11-29 11:00,2024-11-29 01:00,6199,Cancelled
239,Go First,UK9914,DEL,MAA,2024-05-24 03:00,2024-05-24 01:00,6065,Delayed
240,Akasa Air,QP4782,PNQ,BLR,2024-12-28 23:00,2024-12-28 04:00,7342,Cancelled
241,IndiGo,UK3087,COK,HYD,2024-04-15 06:00,2024-04-15 02:00,9321,Delayed
242,Vistara,6E7564,CCU,BLR,2024-05-18 12:00,2024-05-18 03:00,3912,On Time
243,SpiceJet,6E2739,COK,AMD,2024-02-01 16:00,2024-02-01 03:00,3134,Delayed
244,Vistara,SG3463,AMD,MAA,2024-09-16 04:00,2024-09-16 05:00,7756,Delayed
245,SpiceJet,SG5559,BLR,COK,2024-10-02 09:00,2024-10-02 02:00,4834,On Time
246,Go First,UK1998,AMD,BOM,2024-08-14 22:00,2024-08-14 02:00,8087,Cancelled
247,Go First,QP309,TRV,COK,2024-08-10 12:00,2024-08-10 05:00,6608,Cancelled
248,Go First,AI6750,AMD,PNQ,2024-06-04 18:00,2024-06-04 04:00,9376,On Time
249,Vistara,UK7288,BLR,COK,2024-04-07 05:00,2024-04-07 01:00,2981,On Time
250,SpiceJet,UK2075,BOM,TRV,2024-08-06 03:00,2024-08-06 01:00,5022,Delayed
251,Air India,UK4723,PNQ,COK,2024-07-29 17:00,2024-07-29 03:00,10776,Delayed
252,Go First,6E8287,CCU,BOM,2024-09-06 11:00,2024-09-06 01:00,7357,Delayed
253,IndiGo,AI4232,CCU,COK,2024-09-22 13:00,2024-09-22 05:00,9722,On Time
254,Go First,6E2208,COK,TRV,2024-11-06 05:00,2024-11-06 02:00,6872,On Time
255,SpiceJet,QP3190,BLR,CCU,2024-07-12 23:00,2024-07-12 05:00,7724,On Time
256,Vistara,AI7127,DEL,COK,2024-03-17 15:00,2024-03-17 05:00,8130,On Time
257,Vistara,UK5545,COK,PNQ,2024-01-13 17:00,2024-01-13 02:00,6636,Delayed
258,Vistara,SG7688,HYD,MAA,2024-09-08 22:00,2024-09-08 03:00,3101,Delayed
259,Air India,AI5215,BLR,TRV,2024-05-03 16:00,2024-05-03 05:00,4643,Delayed
260,SpiceJet,SG4360,MAA,HYD,2024-03-26 08:00,2024-03-26 04:00,3462,Cancelled
261,SpiceJet,SG7703,AMD,PNQ,2024-11-09 12:00,2024-11-09 05:00,7754,Delayed
262,Akasa Air,UK1109,MAA,BLR,2024-06-01 01:00,2024-06-01 04:00,11601,On Time
263,Vistara,QP3820,MAA,HYD,2024-02-22 13:00,2024-02-22 05:00,7158,Delayed
264,Go First,6E3517,PNQ,HYD,2024-02-08 07:00,2024-02-08 02:00,5117,Cancelled
265,Akasa Air,QP2326,MAA,DEL,2024-10-06 06:00,2024-10-06 01:00,7377,Cancelled
266,Vistara,6E5760,CCU,COK,2024-09-18 18:00,2024-09-18 04:00,8201,On Time
267,Go First,QP8152,DEL,PNQ,2024-02-17 23:00,2024-02-17 05:00,2649,On Time
268,Vistara,6E1198,COK,DEL,2024-12-11 04:00,2024-12-11 02:00,11984,Delayed
269,IndiGo,6E9141,BLR,CCU,2024-09-01 19:00,2024-09-01 05:00,4933,Cancelled
270,Akasa Air,UK4484,COK,BOM,2024-03-03 05:00,2024-03-03 02:00,7153,On Time
271,IndiGo,UK2015,TRV,BLR,2024-04-14 06:00,2024-04-14 02:00,6848,On Time
272,IndiGo,UK4000,DEL,CCU,2024-07-22 03:00,2024-07-22 04:00,4333,Cancelled
273,Akasa Air,AI6173,HYD,TRV,2024-08-21 00:00,2024-08-21 01:00,11156,Delayed
274,SpiceJet,6E6575,MAA,HYD,2024-07-17 19:00,2024-07-17 02:00,6212,On Time
275,IndiGo,SG2993,BLR,COK,2024-01-30 10:00,2024-01-30 05:00,9507,On Time
